"","Active.Date","COUNTY","SED.CODE","LEGAL.NAME","INSTITUTION.TYPE.CODE","INSTITUTION.TYPE.DESCRIPTION","INSTITUTION.SUB.TYPE.CODE","INSTITUTION.SUB.TYPE.DESCRIPTION","NEEDS.RESOURCE.CODE","NEEDS.RESOURCE.DESCRIPTION","GRADE.ORGANIZATION.CODE","GRADE.ORGANIZATION.DESCRIPTION","COMMUNITY.TYPE.CODE","COMMUNITY.TYPE.DESCRIPTION","MAILING.ADDRESS","MAIL.CITY","STATE","ZIP","SALUTATION","CEO.FIRST.NAME","CEO.LAST.NAME","CEO.PHONE","CEO.EMAIL","lon","lat"
"181","7/1/2002","ONONDAGA",421800860845,"SOUTHSIDE ACADEMY CHARTER SCHOOL",17,"PUBLIC SCHOOLS",11,"CHARTER SCHOOL",7,"CHARTER SCHOOL",1,"Elementary",72,72,"2200 ONONDAGA CREEK BLVD","SYRACUSE","NY",13207,"DR.","RONALD","LARGE",3154763019,"44.rlarge@nhaschools.com",-76.154468,43.012185
"187","7/1/1980","OSWEGO",460500010001,"FAIRGRIEVE SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",3,"URBAN/SUBURBAN/HIGH NEEDS",1,"Elementary",74,74,"716 ACADEMY ST","FULTON","NY",13069,"MS.","JEAN","CIESLA",3155935550,"jciesla@fulton.cnyric.org",-76.4050659,43.3234525
"188","7/1/1980","OSWEGO",460500010005,"G RAY BODLEY HIGH SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",3,"URBAN/SUBURBAN/HIGH NEEDS",5,"Senior High",74,74,"6 WILLIAM GILLARD DR","FULTON","NY",13069,"MS.","DONNA","PARKHURST",3155935400,"dparkhur@fulton.cnyric.org",-76.4218406,43.3082296
"189","7/1/1980","OSWEGO",460500010006,"FULTON JUNIOR HIGH SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",3,"URBAN/SUBURBAN/HIGH NEEDS",3,"Junior High School",74,74,"129 CURTIS ST","FULTON","NY",13069,"MS.","OLIVIA","CAMBS",3155935440,"ocambs@fulton.cnyric.org",-76.4201083,43.3019992
"190","7/1/1980","OSWEGO",460500010007,"GRANBY ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",3,"URBAN/SUBURBAN/HIGH NEEDS",1,"Elementary",74,74,"400 W 7TH ST N","FULTON","NY",13069,"MS.","HEATHER","PERRY",3155935480,"hperry@fulton.cnyric.org",-76.4291923,43.3316667
"191","7/1/1980","OSWEGO",460500010008,"J E LANIGAN SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",3,"URBAN/SUBURBAN/HIGH NEEDS",1,"Elementary",74,74,"59 BAKEMAN AVE","FULTON","NY",13069,"MR.","JEFF","HENDRICKSON",3155935470,"jhendric@fulton.cnyric.org",-76.4053242,43.3062656
"192","7/1/1980","OSWEGO",460500010011,"VOLNEY ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",3,"URBAN/SUBURBAN/HIGH NEEDS",1,"Elementary",74,74,"2592 STATE RT 3","FULTON","NY",13069,"MR.","TODD","TERPENING",3155935570,"tterpeni@fulton.cnyric.org",-76.3989321,43.3303503
"193","7/1/1980","OSWEGO",460701040001,"KENNEY MIDDLE SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",4,"RURAL HIGH NEEDS",2,"Middle School",76,76,"PO BOX 66","HANNIBAL","NY",13074,"MR.","SHAWN","MORGAN",3155647955,"smorgan@hannibalcsd.org",-76.5763339,43.314913
"194","7/1/1980","OSWEGO",460701040002,"HANNIBAL HIGH SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",4,"RURAL HIGH NEEDS",5,"Senior High",76,76,"PO BOX 66","HANNIBAL","NY",13074,"MR.","STEPHEN","DUNN",3155647910,"sdunn@hannibalcsd.org",-76.5763339,43.314913
"195","7/1/1980","OSWEGO",460701040003,"FAIRLEY SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",4,"RURAL HIGH NEEDS",1,"Elementary",76,76,"PO BOX 66","HANNIBAL","NY",13074,"MR.","JOSEPH","MUSA",3155647945,"jmusa@hannibalcsd.org",-76.5734024,43.3128137
"196","7/1/1980","OSWEGO",460801060001,"AURA A COLE ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"1683 STATE RT 49","CONSTANTIA","NY",13044,"MR.","MICHAEL","SMOLNIK",3156689823,"msmolnik@cssd.org",-76.0193927,43.2580426
"197","7/1/1980","ONONDAGA",460801060002,"BREWERTON ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"9530 BREWERTON RD","BREWERTON","NY",13029,"MS.","STACEY","EGER",3156684201,"seger@cssd.org",-76.1385547,43.2306608
"198","7/1/1980","OSWEGO",460801060003,"CENTRAL SQUARE INTERMEDIATE SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"68 SCHOOL DR","CENTRAL SQUARE","NY",13036,"MR.","BRENT","BOWDEN",3156684229,"bbowden@cssd.org",-76.1517441,43.2789237
"199","7/1/1980","OSWEGO",460801060005,"PAUL V MOORE HIGH SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",5,"Senior High",75,75,"44 SCHOOL DR","CENTRAL SQUARE","NY",13036,"MR.","JEFFREY","KING",3156684334,"jking@cssd.org",-76.1498637,43.2818508
"200","7/1/1980","OSWEGO",460801060006,"MILLARD HAWK PRIMARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"74 SCHOOL DR","CENTRAL SQUARE","NY",13036,"MS.","AMANDA","VIEL",3156684310,"aviel@cssd.org",-76.1485303,43.2793453
"201","7/1/1980","OSWEGO",460801060007,"HASTINGS MALLORY ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",75,75,"93 BARKERS RD","CENTRAL SQUARE","NY",13036,"MR.","LAWRENCE","WINK",3156684252,"lwink@cssd.org",-76.1441317,43.3213693
"204","7/1/1980","OSWEGO",460901060002,"PALERMO ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",76,76,"1638 COUNTY RT 45","FULTON","NY",13069,"MS.","MARGARET","SCORZELLI",3159638400,"mscorzel@mexico.cnyric.org",-76.281428,43.3672759
"205","7/1/1980","OSWEGO",460901060003,"MEXICO HIGH SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",5,"Senior High",76,76,"3338 MAIN ST","MEXICO","NY",13114,"MR.","RYAN","LANIGAN",3159638400,"rlanigan@mexicocsd.org",-76.2346566,43.4602085
"206","7/1/1980","OSWEGO",460901060004,"NEW HAVEN ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",76,76,"PO BOX 119","NEW HAVEN","NY",13121,"MR.","RICHARD","CHAPMAN",3159638400,"rchapman@mexico.cnyric.org",-76.3212138,43.4803403
"207","7/1/1980","OSWEGO",460901060005,"MEXICO MIDDLE SCHOOL",17,"PUBLIC SCHOOLS",7,"PUBLIC SCHOOL INDEPENDENT CENTRAL",5,"AVERAGE NEEDS",2,"Middle School",76,76,"16 FRAVOR RD","MEXICO","NY",13114,"MS.","KIMBERLY","HOLLIDAY",3159638400,"khollida@mexicocsd.org",-76.2448883,43.4634528
"208","7/1/1980","OSWEGO",461300010002,"CHARLES E RILEY ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",5,"AVERAGE NEEDS",1,"Elementary",74,74,"269 E 8TH ST","OSWEGO","NY",13126,"DR.","LINDA","DOTY",3153412800,"ldoty@oswego.org",-76.4936996,43.4489549
"209","7/1/1980","OSWEGO",461300010003,"LEIGHTON ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",5,"AVERAGE NEEDS",1,"Elementary",74,74,"1 BUCCANEER BLVD","OSWEGO","NY",13126,"MRS.","KARA","SHORE",3153412700,"kshore@oswego.org",-76.5252159,43.4522409
"210","7/1/1980","OSWEGO",461300010004,"FITZHUGH PARK ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",5,"AVERAGE NEEDS",1,"Elementary",74,74,"E 10TH & BRIDGE STS","OSWEGO","NY",13126,"MS.","DONNA","SIMMONS",3153412400,"dsimmons@oswego.org",-76.4960447,43.46174
"211","7/1/1980","OSWEGO",461300010005,"KINGSFORD PARK ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",5,"AVERAGE NEEDS",1,"Elementary",74,74,"275 W 5TH ST","OSWEGO","NY",13126,"DR.","MARY","VOLKOMER",3153412500,"mvolkome@oswego.org",-76.5112013,43.4477946
"212","7/1/1980","OSWEGO",461300010006,"MINETTO ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",5,"AVERAGE NEEDS",1,"Elementary",74,74,"2411 COUNTY RT 8","MINETTO","NY",13115,"MS.","JULIE","KIMMEL-GORMAN",3153412600,"jkimmelg@oswego.org",-76.4718154,43.3939566
"213","7/1/1980","OSWEGO",461300010007,"OSWEGO MIDDLE SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",5,"AVERAGE NEEDS",3,"Junior High School",74,74,"MARK FITZGIBBONS DR","OSWEGO","NY",13126,"MS.","MARY BETH","FIERRO",3153412300,"mfierro2@oswego.org",-76.5041568,43.4305392
"214","7/1/1980","OSWEGO",461300010008,"OSWEGO HIGH SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",5,"AVERAGE NEEDS",5,"Senior High",74,74,"2 BUCCANEER BLVD","OSWEGO","NY",13126,"DR.","HEIDI","SWEENEY",3153412200,"hsweeney@oswego.org",-76.5241896,43.4505295
"215","7/1/1980","OSWEGO",461801040001,"PULASKI HIGH SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",4,"RURAL HIGH NEEDS",5,"Senior High",76,76,"4624 SALINA ST","PULASKI","NY",13142,"MR.","MICHAEL","BATESON",3152985103,"mbateson@pacs.cnyric.org",-76.1350183,43.5713149
"216","7/1/1980","OSWEGO",461801040003,"PULASKI ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",4,"RURAL HIGH NEEDS",1,"Elementary",76,76,"2 HINMAN RD","PULASKI","NY",13142,"MS.","SUSAN","LOHRET",3152982412,"slohret@pacs.cnyric.org",-76.1350183,43.5713149
"217","7/1/2009","OSWEGO",461801040004,"PULASKI MIDDLE SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",4,"RURAL HIGH NEEDS",2,"Middle School",76,76,"4624 SALINA ST","PULASKI","NY",13142,"MS.","PAULA","BRILLO",3152986001,"pbrillo@pacs.cnyric.org",-76.1238581,43.5524351
"218","7/1/1980","OSWEGO",461901040001,"SANDY CREEK HIGH SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",4,"RURAL HIGH NEEDS",5,"Senior High",77,77,"PO BOX 248","SANDY CREEK","NY",13145,"MR.","LOUIS","CHISTOLINI",3153873445,"lchistolini@sccs.cnyric.org",-76.0771401,43.6476699
"219","7/1/1980","OSWEGO",461901040002,"SANDY CREEK ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",4,"RURAL HIGH NEEDS",1,"Elementary",77,77,"PO BOX 248","SANDY CREEK","NY",13145,"MS.","BONNIE","FINNERTY",3153873445,"bonnie.finnerty@sccs.cnyric.org",-76.0771401,43.6476699
"220","7/1/2001","OSWEGO",461901040003,"SANDY CREEK MIDDLE SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",4,"RURAL HIGH NEEDS",2,"Middle School",77,77,"PO BOX 248","SANDY CREEK","NY",13145,"MS.","CAROLYN","SHIRLEY",3153873445,"cshirley@sccs.cnyric.org",-76.0771401,43.6476699
